Pen,act_lsl,act_usl,itime_lsl,itime_usl,idepth_lsl,idepth_usl,dose_lsl,dose_usl,npos_lsl ,npos_usl
Mars,3,16,0,15,4,8,1.14,NA,4.5,NA
Jupiter,3,24,0,15,4,8,2.0,NA,4.6,NA
